TE,NP,NU
0723383702,С,БОРЕМЩИНА
0723383703,С,ВІЛЬКА-ПІДГОРОДНЕНСЬКА
0723383704,С,ЗАСТАВ'Є
0723383900,,ПОЛАПІВСЬКА/С.ПОЛАПИ
0723383901,С,ПОЛАПИ
0723383902,С,СОКІЛ
0723384000,,ПОЧАПІВСЬКА/С.ПОЧАПИ
0723384001,С,ПОЧАПИ
0723384002,С,ВИГНАНКА
0723384003,С,ЧОРНОПЛЕСИ
0723384700,,РАДЕХІВСЬКА/С.РАДЕХІВ
0723384701,С,РАДЕХІВ
0723384702,С,ВИЖГІВ
0723384703,С,ЧМИКОС
0723384800,,РИМАЧІВСЬКА/С.РИМАЧІ
0723384801,С,РИМАЧІ
0723384802,С,БЕРЕЖЦІ
0723384900,,РІВНЕНСЬКА/С.РІВНЕ
0723384901,С,РІВНЕ
0723384902,С,БОРОВЕ
0723384903,С,СТАРОВОЙТОВЕ
0723385900,,СТОЛИНСЬКО-СМОЛЯРСЬКА/С.СТОЛИНСЬКІ СМОЛЯРИ
0723385901,С,СТОЛИНСЬКІ СМОЛЯРИ
0723385903,С,БУДНИКИ
0723385905,С,ГОРОХОВИЩЕ
0723385907,С,РОГОВІ СМОЛЯРИ
0723386500,,ХВОРОСТІВСЬКА/С.ХВОРОСТІВ
0723386501,С,ХВОРОСТІВ
0723386502,С,РУДА
0723387200,,ШТУНСЬКА/С.ШТУНЬ
0723387201,С,ШТУНЬ
0723387202,С,ВИСОЦЬК
0723387203,С,ЗАМЛИННЯ
0723387204,С,ПРИРІЧЧЯ
0723387205,С,ТЕРЕХИ
0723600000,,МАНЕВИЦЬКИЙ РАЙОН/СМТ МАНЕВИЧІ
0723655000,,СЕЛИЩА МІСЬКОГО ТИПУ МАНЕВИЦЬКОГО Р-НУ
0723655100,Т,МАНЕВИЧІ
0723655400,Т,КОЛКИ
0723680000,,СІЛЬРАДИ МАНЕВИЦЬКОГО Р-НУ
0723680300,,БОРОВИЧІВСЬКА/С.БОРОВИЧІ
0723680301,С,БОРОВИЧІ
0723680302,С,ГРУЗЯТИН
0723680600,,БУДКІВСЬКА/С.БУДКИ
0723680601,С,БУДКИ
0723680602,С,КАМ'ЯНУХА
0723680603,С,РУДКА
0723680900,,ВЕЛИКОВЕДМЕЗЬКА/С.ВЕЛИКА ВЕДМЕЖКА
0723680901,С,ВЕЛИКА ВЕДМЕЖКА
0723680902,С,НОВІ ПІДЦАРЕВИЧІ
0723681100,,ВЕЛИКООСНИЦЬКА/С.ВЕЛИКА ОСНИЦЯ
0723681101,С,ВЕЛИКА ОСНИЦЯ
0723681102,С,ЗАРІЧЧЯ
0723681103,С,МАЛА ОСНИЦЯ
0723681500,,ГАЛУЗІЙСЬКА/С.ГАЛУЗІЯ
0723681501,С,ГАЛУЗІЯ
0723681700,,ГОДОМИЧІВСЬКА/С.ГОДОМИЧІ
0723681701,С,ГОДОМИЧІ
0723681900,,ГОРАЙМІВСЬКА/С.ГОРАЙМІВКА
0723681901,С,ГОРАЙМІВКА
0723681902,С,МАЙДАН-ЛИПНЕНСЬКИЙ
0723682000,,ГОРОДОЦЬКА/С.ГОРОДОК
0723682001,С,ГОРОДОК
0723682200,,ДОВЖИЦЬКА/С.ДОВЖИЦЯ
0723682201,С,ДОВЖИЦЯ
0723682202,С,ВЕЛИКА ЯБЛУНЬКА
0723682203,С,ГРАДДЯ
0723682204,С,ЗАГОРІВКА
0723682205,С,МАЛА ЯБЛУНЬКА
0723682800,,КАРАСИНСЬКА/С.КАРАСИН
0723682801,С,КАРАСИН
0723682802,С,ЗАМОСТЯ
0723683000,,КОМАРІВСЬКА/С.КОМАРОВЕ
0723683001,С,КОМАРОВЕ
0723683002,С,НОВОСІЛКИ
0723683200,,КОПИЛЛІВСЬКА/С.КОПИЛЛЯ
0723683201,С,КОПИЛЛЯ
0723683400,,КОСТЮХНІВСЬКА/С.КОСТЮХНІВКА
0723683401,С,КОСТЮХНІВКА
0723683402,С,ВОВЧИЦЬК
0723683403,С,КОЛОДІЇ
0723683500,,КРАСНОВІЛЬСЬКА/С.КРАСНОВОЛЯ
0723683501,С,КРАСНОВОЛЯ
0723683502,С,МАТЕЙКИ
0723683503,С,НІЧОГІВКА
0723683504,С,ПОГУЛЯНКА
0723683505,С,ТЕЛЬЧІ
0723683600,,КУКЛИНСЬКА/С.КУКЛИ
0723683601,С,КУКЛИ
0723683602,С,СЕВЕРИНІВКА
0723683800,,КУЛИКОВИЧІВСЬКА/С.КУЛИКОВИЧІ
0723683801,С,КУЛИКОВИЧІ
0723684000,,ЛІСІВСЬКА/С.ЛІСОВЕ
0723684001,С,ЛІСОВЕ
0723684002,С,ГУТА-ЛІСІВСЬКА
0723684500,,ЛИШНІВСЬКА/С.ЛИШНІВКА
0723684501,С,ЛИШНІВКА
0723685100,,НОВОРУДСЬКА/С.НОВА РУДА
0723685101,С,НОВА РУДА
0723685102,С,ГРАДИСЬК
0723685103,С,НАБРУСКА
0723685300,,ОКОНСЬКА/С.ОКОНСЬК
0723685301,С,ОКОНСЬК
0723685500,,ПРИЛІСНЕНСЬКА/С.ПРИЛІСНЕ
0723685501,С,ПРИЛІСНЕ
0723685900,,РУДНИКІВСЬКА/С.РУДНИКИ
0723685901,С,РУДНИКИ
0723685902,С,КАЛИНІВКА
0723685903,С,МАР'ЯНІВКА
0723685904,С,НОВОУКРАЇНКА
0723685905,С,ОСТРОВКИ
0723686200,,СЕРХІВСЬКА/С.СЕРХІВ
0723686201,С,СЕРХІВ
0723686400,,СТАРОСІЛЬСЬКА/С.СТАРОСІЛЛЯ
0723686401,С,СТАРОСІЛЛЯ
0723686402,С,РОЗНИЧІ
0723686403,С,СЕМКИ
0723686404,С,СИТНИЦЯ
0723686600,,СТАРОЧОРТОРИЙСЬКА/С.СТАРИЙ ЧОРТОРИЙСЬК
0723686601,С,СТАРИЙ ЧОРТОРИЙСЬК
0723687300,,ТРОЯНІВСЬКА/С.ТРОЯНІВКА
0723687301,С,ТРОЯНІВКА
0723687302,С,БЕРЕЖНИЦЯ
0723687303,С,МАЙДАН
0723687304,С,ЧЕРСЬК
0723687600,,ЦМІНІВСЬКА/С.ЦМІНИ
0723687601,С,ЦМІНИ
0723687602,С,КОЗЛИНИЧІ
0723687603,С,МАЛА ВЕДМЕЖКА
0723687604,С,ПІДГАТТЯ
0723687605,С,ХРЯСЬК
0723687900,,ЧЕРЕВАХІВСЬКА/С.ЧЕРЕВАХА
0723687901,С,ЧЕРЕВАХА
0723687902,С,СОФІЯНІВКА
0723688200,,ЧОРНИЖІВСЬКА/С.ЧОРНИЖ
0723688201,С,ЧОРНИЖ
0723688700,,ЧЕТВЕРТНЯНСЬКА/С.ЧЕТВЕРТНЯ
0723688701,С,ЧЕТВЕРТНЯ
0723688702,С,КРИНИЧНЕ
0724200000,,РАТНІВСЬКИЙ РАЙОН/СМТ РАТНЕ
0724255000,,СЕЛИЩА МІСЬКОГО ТИПУ РАТНІВСЬКОГО Р-НУ
0724255100,Т,РАТНЕ
0724255300,Т,ЗАБОЛОТТЯ
0724280000,,СІЛЬРАДИ РАТНІВСЬКОГО Р-НУ
0724280400,,ВЕЛИМЧЕНСЬКА/С.ВЕЛИМЧЕ
0724280401,С,ВЕЛИМЧЕ
0724280402,С,ДОШНЕ
0724280800,,ВИДРАНИЦЬКА/С.ВИДРАНИЦЯ
0724280801,С,ВИДРАНИЦЯ
0724280802,С,ЗАДОЛИНА
0724280803,С,ЗАІВАНОВЕ
0724281000,,ВИСОЧНЕНСЬКА/С.ВИСОЧНЕ
0724281001,С,ВИСОЧНЕ
0724281003,С,БЕРЕЗА
0724281007,С,ВИЖИЧНО
0724281009,С,ВИТЕНЬ
0724281800,,ГІРНИКІВСЬКА/С.ГІРНИКИ
0724281801,С,ГІРНИКИ
0724281802,С,БРОДИ
0724281803,С,СІЛЬЦЕ
0724282200,,ГУТЯНСЬКА/С.ГУТА
0724282201,С,ГУТА
0724282600,,ДАТИНСЬКА/С.ДАТИНЬ
0724282601,С,ДАТИНЬ
0724282602,С,ЗАПІЛЛЯ
0724283000,,ЖИРИЧІВСЬКА/С.ЖИРИЧІ
0724283001,С,ЖИРИЧІ
0724283400,,ЗАБРОДІВСЬКА/С.ЗАБРОДИ
0724283401,С,ЗАБРОДИ
0724283402,С,ЛУЧИЧІ
0724283403,С,ЯКУШІВ
0724283700,,ЗАЛІСЬКА/С.ЗАЛІСИ
0724283701,С,ЗАЛІСИ
0724283900,,ЗАЛУХІВСЬКА/С.ЗАЛУХІВ
0724283901,С,ЗАЛУХІВ
0724283902,С,ЗАПРИП'ЯТЬ
0724283903,С,ПОЧАПИ
0724283904,С,ХАБАРИЩЕ
0724283905,С,ЩИТИНСЬКА ВОЛЯ
0724284200,,ЗАМШАНІВСЬКА/С.ЗАМШАНИ
0724284201,С,ЗАМШАНИ
0724284202,С,ВУЖИСЬК
0724284500,,ЗДОМИШЕЛЬСЬКА/С.ЗДОМИШЕЛЬ
0724284501,С,ЗДОМИШЕЛЬ
0724284502,С,КРАСКА
0724284503,С,ШМЕНЬКИ
0724285200,,КОРТЕЛІСЬКА/С.КОРТЕЛІСИ
0724285201,С,КОРТЕЛІСИ
0724285205,С,ЗАПОКІВНЕ
0724285206,С,КОСИЦІ
0724285300,,МЕЖИСИТІВСЬКА/С.МЕЖИСИТІ
0724285301,С,МЕЖИСИТЬ
0724285302,С,БРОДЯТИНЕ
0724285303,С,ЗАЛИСИЦЯ
0724285500,,МЛИНІВСЬКА/С.МЛИНОВЕ
0724285501,С,МЛИНОВЕ
0724285502,С,ГОДИНЬ
0724285503,С,ДОЛИНА
0724285504,С,ДОМАНОВЕ
0724285505,С,СІЛЬЦЯ-МЛИНІВСЬКІ
0724285800,,ПОСТУПЕЛЬСЬКА/С.ПОСТУПЕЛЬ
0724285801,С,ПОСТУПЕЛЬ
0724285802,С,АДАМІВКА
0724285803,С,ЗОРЯНЕ
0724286000,,ПРОХІДСЬКА/С.ПРОХІД
0724286001,С,ПРОХІД
0724286003,С,КОМАРОВЕ
0724286005,С,КОНИЩЕ
0724286007,С,СТАРОСТИНЕ
0724286400,,РІЧИЦЬКА/С.РІЧИЦЯ
0724286401,С,РІЧИЦЯ
0724286402,С,МЕЛЬНИКИ-РІЧИЦЬКІ
0724286403,С,ПІСКИ-РІЧИЦЬКІ
0724286900,,САМАРІВСЬКА/С.САМАРИ
0724286901,С,САМАРИ
0724286903,С,БОРОВУХА
0724286904,С,ГОЛОВИЩЕ
0724286905,С,ЗАНИВСЬКЕ
0724286906,С,КОЗОВАТА
0724286908,С,ПІД'ЯЗІВНІ
0724286909,С,ТЕРЕБОВИЧІ
0724286910,С,ЯЗАВНІ
0724287100,,САМАРИ-ОРІХІВСЬКА/С.САМАРИ-ОРІХОВІ
0724287101,С,САМАРИ-ОРІХОВІ
0724287103,С,БЕРЕЗНИКИ
0724287105,С,МАЛЕ ОРІХОВЕ
0724287600,,ТУРСЬКА/С.ТУР
0724287601,С,ТУР
0724288200,,ЩЕДРОГІРСЬКА/С.ЩЕДРОГІР
0724288201,С,ЩЕДРОГІР
0724288204,С,ЗАЛЮТТЯ
0724288206,С,ОКАЧЕВЕ
0724288207,С,ПІДГІР'Я
0724500000,,РОЖИЩЕНСЬКИЙ РАЙОН/М.РОЖИЩЕ
0724510000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ РОЖИЩЕНСЬКОГО Р-НУ
0724510100,М,РОЖИЩЕ
0724555000,,СЕЛИЩА МІСЬКОГО ТИПУ РОЖИЩЕНСЬКОГО Р-НУ
0724555300,Т,ДУБИЩЕ
0724580000,,СІЛЬРАДИ РОЖИЩЕНСЬКОГО Р-НУ
0724580300,,БЕРЕЗОЛУКІВСЬКА/С.БЕРЕЗОЛУКИ
0724580301,С,БЕРЕЗОЛУКИ
0724580302,С,КРОВАТКА
0724580303,С,ПІДГІРНЕ
0724580304,С,ЯБЛУНІВКА
0724580600,,БЕРЕСЬКА/С.БЕРЕСЬК
0724580601,С,БЕРЕСЬК
0724580800,,ВІЧИНІВСЬКА/С.ВІЧИНІ
0724580801,С,ВІЧИНІ
0724581000,,ВОРОНЧИНСЬКА/С.ВОРОНЧИН
0724581001,С,ВОРОНЧИН
0724581003,С,СТУДИНІ
0724581400,,ГОРОДИНІВСЬКА/С.ГОРОДИНІ
0724581401,С,ГОРОДИНІ
0724581402,С,РОМАНІВ
0724581900,,ДОРОСИНІВСЬКА/С.ДОРОСИНІ
0724581901,С,ДОРОСИНІ
0724581903,С,КИЯЖ
0724582100,,ЗАЛІСЦІВСЬКА/С.ЗАЛІСЦІ
0724582101,С,ЗАЛІСЦІ
0724582103,С,УЖОВА
0724582600,,ІВАНЧИЦІВСЬКА/С.ІВАНЧИЦІ
0724582601,С,ІВАНЧИЦІ
0724582602,С,ОЗДЕНІЖ
0724582800,,КОБЧЕНСЬКА/С.КОБЧЕ
0724582801,С,КОБЧЕ
0724582900,,КОПАЧІВСЬКА/С.КОПАЧІВКА
0724582901,С,КОПАЧІВКА
0724582902,С,БАШОВА
0724582903,С,ПІДЛІСКИ
0724582904,С,ТРОСТЯНКА
0724582907,С,ОЛЕКСАНДРІВКА
0724583000,,КРЕМЕНЕЦЬКА/С.КРЕМЕНЕЦЬ
0724583001,С,КРЕМЕНЕЦЬ
0724583200,,ЛІТОГОЩАНСЬКА/С.ЛІТОГОЩА
0724583201,С,ЛІТОГОЩА
0724583202,С,ІВАНІВКА
0724583203,С,КОРСИНІ
0724583500,,ЛУКІВСЬКА/С.ЛУКІВ
0724583501,С,ЛУКІВ
0724583502,С,КРИЖІВКА
0724583503,С,НЕЗВІР
0724583700,,ЛЮБЧЕНСЬКА/С.ЛЮБЧЕ
0724583701,С,ЛЮБЧЕ
0724584100,,МИЛЬСЬКА/С.МИЛЬСЬК
0724584101,С,МИЛЬСЬК
0724584102,С,БЕРЕГОВЕ
0724584400,,НАВІЗЬКА/С.НАВІЗ
0724584401,С,НАВІЗ
0724584500,,НЕМИРСЬКА/С.НЕМИР
0724584501,С,НЕМИР
0724584505,С,РАЙМІСТО
0724584600,,НОСАЧЕВИЧІВСЬКА/С.НОСАЧЕВИЧІ
0724584601,С,НОСАЧЕВИЧІ
0724584602,С,ВИШЕНЬКИ
0724584604,С,ЄЛИЗАВЕТИН
0724584605,С,ОЛЕШКОВИЧІ
0724585000,,ПЕРЕСПІВСЬКА/С.ПЕРЕСПА
0724585001,С,ПЕРЕСПА
0724585002,С,БОГУШІВСЬКА МАР'ЯНІВКА
0724585004,С,ЗАБАРА
0724585005,С,ЛИНІВКА
0724585006,С,МАЛИНІВКА
0724585007,С,МИРОСЛАВКА
0724585009,С,ТРИЛІСЦІ
0724585200,,ПОЖАРКІВСЬКА/С.ПОЖАРКИ
0724585201,С,ПОЖАРКИ
0724585202,С,ОЛЕНІВКА
0724585600,,РУДКО-КОЗИНСЬКА/С.РУДКА-КОЗИНСЬКА
0724585601,С,РУДКА-КОЗИНСЬКА
0724585603,С,КОЗИН
0724585900,,РУДНЯНСЬКА/С.РУДНЯ
0724585901,С,РУДНЯ
0724585902,С,ВАЛЕР'ЯНІВКА
0724585903,С,ОЛЬГАНІВКА
0724586200,,СОКІЛЬСЬКА/С.СОКІЛ
0724586201,С,СОКІЛ
0724586202,С,ДУХЧЕ
0724586900,,ТОПІЛЬНЕНСЬКА/С.ТОПІЛЬНЕ
0724586901,С,ТОПІЛЬНЕ
0724586902,С,ДМИТРІВКА
0724586904,С,МИХАЙЛИН
0724587000,,ТИХОТИНСЬКА/С.ТИХОТИН
0724587001,С,ТИХОТИН
0724587003,С,БОРТЯХІВКА
0724587100,,УЛЯНИКІВСЬКА/С.УЛЯНИКИ
0724587101,С,УЛЯНИКИ
0724587200,,ЩУРИНСЬКА/С.ЩУРИН
0724587201,С,ЩУРИН
0724587202,С,КВІТНЕВЕ
0724587203,С,ТРИСТЕНЬ
0724587800,,ЯСЕНІВСЬКА/С.ЯСЕНІВКА
0724587801,С,ЯСЕНІВКА
0724587802,С,ВІТОНІЖ
0725000000,,СТАРОВИЖІВСЬКИЙ РАЙОН/СМТ СТАРА ВИЖІВКА
0725055000,,СЕЛИЩА МІСЬКОГО ТИПУ СТАРОВИЖІВСЬКОГО Р-НУ
0725055100,Т,СТАРА ВИЖІВКА
0725055101,С,БРІДКИ
0725055102,С,МЕЛЬНИКИ
0725080000,,СІЛЬРАДИ СТАРОВИЖІВСЬКОГО Р-НУ
0725080500,,БУЦИНСЬКА/С.БУЦИНЬ
0725080501,С,БУЦИНЬ
0725080800,,ГЛУХІВСЬКА/С.ГЛУХИ
0725080801,С,ГЛУХИ
0725080802,С,ТЕКЛЯ
0725081300,,ДУБЕЧНЕНСЬКА/С.ДУБЕЧНЕ
0725081301,С,ДУБЕЧНЕ
0725081302,С,ЗАЛЮТТЯ
0725081303,С,ЛЮТКА
0725081304,С,МОКРЕ
0725081305,С,РОКИТА
0725081800,,ЖУРАВЛИНСЬКА/С.ЖУРАВЛИНЕ
0725081801,С,ЖУРАВЛИНЕ
0725082200,,КРИМНЕНСЬКА/С.КРИМНЕ
0725082201,С,КРИМНЕ
0725082202,С,ЯРЕВИЩЕ
0725082500,,ЛЮБОХИНІВСЬКА/С.ЛЮБОХИНИ
0725082501,С,ЛЮБОХИНИ
0725082900,,МИЗІВСЬКА/С.МИЗОВЕ
0725082901,С,МИЗОВЕ
0725083200,,НОВОВИЖВІВСЬКА/С.НОВА ВИЖВА
0725083201,С,НОВА ВИЖВА
0725083202,С,РУДКА
0725083203,С,ХОТИВЕЛЬ
0725084000,,ПОЛІСЬКА/С.ПОЛІСЬКЕ
0725084001,С,ПОЛІСЬКЕ
0725084002,С,БРУНЕТІВКА
0725084003,С,ЧЕВЕЛЬ
0725084200,,РУДНЯНСЬКА/С.РУДНЯ
0725084201,С,РУДНЯ
0725084202,С,КУКУРІКИ
0725084203,С,СЬОМАКИ
0725084600,,СЕДЛИЩЕНСЬКА/С.СЕДЛИЩЕ
0725084601,С,СЕДЛИЩЕ
0725084602,С,БОРЗОВА
0725084604,С,ЧЕРЕМШАНКА
0725084700,,СЕКУНСЬКА/С.СЕКУНЬ
0725084701,С,СЕКУНЬ
0725084800,,СЕРЕХОВИЧІВСЬКА/С.СЕРЕХОВИЧІ
0725084801,С,СЕРЕХОВИЧІ
0725084802,С,ГРАБОВЕ
0725084803,С,НОВА ВОЛЯ
0725085000,,СМІДИНСЬКА/С.СМІДИН
0725085001,С,СМІДИН
0725085002,С,ЛІСНЯКИ
0725085003,С,ПАРИДУБИ
0725085200,,ГАЛИНОВІЛЬСЬКА/С.ГАЛИНА ВОЛЯ
0725085201,С,ГАЛИНА ВОЛЯ
0725085203,С,СМОЛЯРІ
0725085400,,СОКОЛИЩЕНСЬКА/С.СОКОЛИЩЕ
0725085401,С,СОКОЛИЩЕ
0725085402,С,МИЛЬЦІ
0725085403,С,ПІДСИНІВКА
0725085404,С,ШКРОБИ
0725085500,,СОЛОВ'ЇВСЬКА/С.СОЛОВ'Ї
0725085501,С,СОЛОВ'Ї
0725085502,С,КОМАРОВЕ
0725085503,С,НИЦІ
0725085800,,СТАРОГУТІВСЬКА/С.СТАРА ГУТА
0725085801,С,СТАРА ГУТА
0725085802,С,СУКАЧІ
0725086000,,СИНІВСЬКА/С.СИНОВЕ
0725086001,С,СИНОВЕ
0725500000,,ТУРІЙСЬКИЙ РАЙОН/СМТ ТУРІЙСЬК
0725555000,,СЕЛИЩА МІСЬКОГО ТИПУ ТУРІЙСЬКОГО Р-НУ
0725555100,Т,ТУРІЙСЬК
0725555400,Т,ЛУКІВ
0725580000,,СІЛЬРАДИ ТУРІЙСЬКОГО Р-НУ
0725580400,,БОБЛІВСЬКА/С.БОБЛИ
0725580401,С,БОБЛИ
0725580402,С,ОСА
0725580403,С,РЕВУШКИ
0725580800,,ГАЙКІВСЬКА/С.ГАЙКИ
0725580801,С,ГАЙКИ
0725580802,С,ЗАМОСТИ
0725580803,С,РУДА
0725580804,С,ЯГІДНЕ
0725580900,,ДОЛЬСЬКА/С.ДОЛЬСЬК
0725580901,С,ДОЛЬСЬК
0725580903,С,РАСТІВ
0725581000,,ДУЛІБІВСЬКА/С.ДУЛІБИ
0725581001,С,ДУЛІБИ
0725581002,С,ТУРИЧАНИ
0725581300,,КЛЮСЬКА/С.КЛЮСЬК
0725581301,С,КЛЮСЬК
0725581302,С,ВОЛИЦЯ
0725581303,С,ГАРУША
0725581306,С,ТАГАЧИН
0725581700,,КУЛЬЧИНСЬКА/С.КУЛЬЧИН
0725581701,С,КУЛЬЧИН
0725581703,С,МИРОВИЧІ
0725581705,С,СТАВОК
0725582200,,КУПИЧІВСЬКА/С.КУПИЧІВ
0725582201,С,КУПИЧІВ
0725582202,С,НИРИ
0725582203,С,СВИНАРИН
0725582204,С,ЧОРНІЇВ
0725582600,,МАКОВИЧІВСЬКА/С.МАКОВИЧІ
0725582601,С,МАКОВИЧІ
0725582603,С,ЛИПА
0725582605,С,МОЧАЛКИ
0725582607,С,ОСЕКРІВ
0725582609,С,СЕРКІЗІВ
0725582900,,МИЛЯНОВИЧІВСЬКА/С.МИЛЯНОВИЧІ
0725582901,С,МИЛЯНОВИЧІ
0725582902,С,ГОДОВИЧІ
0725582903,С,ЗАЛІСЦІ
0725582904,С,ЗІЛОВЕ
0725582905,С,КЛИЧКОВИЧІ
0725582906,С,ПЕРЕВІССЯ
0725582907,С,ТУПАЛИ
0725582908,С,ТУРОВИЧІ
0725583100,,МОКРЕЦЬКА/С.МОКРЕЦЬ
0725583101,С,МОКРЕЦЬ
0725583102,С,БЛАЖЕНИК
0725583103,С,ТУРІЯ
0725583104,С,ТУРОПИН
0725583400,,НОВОДВІРСЬКА/С.НОВИЙ ДВІР
0725583401,С,НОВИЙ ДВІР
0725583402,С,ДОЖВА
0725583403,С,ЛОВИЩА
0725583404,С,ОСЬМИГОВИЧІ
0725583405,С,ПОЛЯНА
0725583406,С,СИНЯВКА
0725583600,,НОВОСІЛКІВСЬКА/С.НОВОСІЛКИ
0725583601,С,НОВОСІЛКИ
0725583603,С,КОМАРІВ
0725583604,С,ОКУНИН
0725583900,,ОВЛОЧИНСЬКА/С.ОВЛОЧИН
0725583901,С,ОВЛОЧИН
0725583902,С,КРАТЬ
0725583903,С,СТАВКИ
0725584200,,ОЗЕРЯНСЬКА/С.ОЗЕРЯНИ
0725584201,С,ОЗЕРЯНИ
0725584202,С,ПЕРЕСІКА
0725584203,С,СУШИБАБА
0725585300,,ПЕРЕВАЛІВСЬКА/С.ПЕРЕВАЛИ
0725585301,С,ПЕРЕВАЛИ
0725585302,С,ОСЕРЕБИ
0725585303,С,ОХОТНИКИ
0725585304,С,ТОРГОВИЩЕ
0725585600,,РУЖИНСЬКА/С.РУЖИН
0725585601,С,РУЖИН
0725585602,С,ГОРОДИЛЕЦЬ
0725585603,С,КЛЕВЕЦЬК
0725586000,,СЕЛЕЦЬКА/С.СЕЛЕЦЬ
0725586001,С,СЕЛЕЦЬ
0725586003,С,ЗАДИБИ
0725586500,,СОЛОВИЧІВСЬКА/С.СОЛОВИЧІ
0725586501,С,СОЛОВИЧІ
0725586502,С,КУСТИЧІ
0725586503,С,ОБЕНИЖІ
0725586700,,СОМИНСЬКА/С.СОМИН
0725586701,С,СОМИН
0725586703,С,ВІДУТИ
0725587600,,ТУЛИЧІВСЬКА/С.ТУЛИЧІВ
0725587601,С,ТУЛИЧІВ
0725587602,С,ВЕРБИЧНЕ
0725587603,С,ЛІТИН
0725587604,С,МОЛОДІВКА
0725587605,С,РАДОВИЧІ
0725587606,С,СЕРЕБРЯНИЦЯ
0725700000,,ШАЦЬКИЙ РАЙОН/СМТ ШАЦЬК
0725755000,,СЕЛИЩА МІСЬКОГО ТИПУ ШАЦЬКОГО Р-НУ
0725755100,Т,ШАЦЬК
0725755101,С,ГАЇВКА
0725755103,С,МЕЛЬНИКИ
0725780000,,СІЛЬРАДИ ШАЦЬКОГО Р-НУ
0725780900,,ГРАБІВСЬКА/С.ГРАБОВЕ
0725780901,С,ГРАБОВЕ
0725780902,С,АДАМЧУКИ
0725780903,С,ГОЛЯДИН
0725780904,С,СМОЛЯРИ-СВІТЯЗЬКІ
0725783900,,ПІЩАНСЬКА/С.ПІЩА
0725783901,С,ПІЩА
0725783902,С,ЗАТИШШЯ
0725783903,С,КАМ'ЯНКА
0725783904,С,ОСТРІВ'Я
0725784200,,ПРИП'ЯТСЬКА/С.ПРИП'ЯТЬ
0725784201,С,ПРИП'ЯТЬ
0725784202,С,ВІЛИЦЯ
0725784203,С,КРОПИВНИКИ
0725784204,С,ПЛОСКЕ
0725784500,,ПУЛЕМЕЦЬКА/С.ПУЛЕМЕЦЬ
0725784501,С,ПУЛЕМЕЦЬ
0725784600,,ПУЛЬМІВСЬКА/С.ПУЛЬМО
0725784601,С,ПУЛЬМО
0725784602,С,ВІЛЬШАНКА
0725784603,С,ЗАЛІССЯ
0725784604,С,КОШАРИ
0725785000,,РОСТАНСЬКА/С.РОСТАНЬ
0725785001,С,РОСТАНЬ
0725785002,С,КРАСНИЙ БІР
0725785003,С,ПЕРЕШПА
0725785005,С,ХРИПСЬК
0725785400,,САМІЙЛИЧІВСЬКА/С.САМІЙЛИЧІ
0725785401,С,САМІЙЛИЧІ
0725785402,С,ПЕХИ
0725785403,С,ПОЛОЖЕВЕ
0725785404,С,ХОМИЧІ
0725785600,,СВІТЯЗЬКА/С.СВІТЯЗЬ
0725785601,С,СВІТЯЗЬ
0725785602,С,ОМЕЛЬНЕ
0725785603,С,ПІДМАНОВЕ
1200000000,,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ/М.ДНІПРО
1210000000,,МІСТА ОБЛАСНОГО ПІДПОРЯДКУВАННЯ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ
1210100000,,ДНІПРО
1210130000,,РАЙОНИ М.ДНІПРА
1210136300,Р,АМУР-НИЖНЬОДНІПРОВСЬКИЙ
1210136600,Р,ШЕВЧЕНКІВСЬКИЙ
1210136900,Р,СОБОРНИЙ
1210137200,Р,ІНДУСТРІАЛЬНИЙ
1210137500,Р,ЦЕНТРАЛЬНИЙ
1210137800,Р,ЧЕЧЕЛІВСЬКИЙ
1210138100,Р,НОВОКОДАЦЬКИЙ
1210138400,Р,САМАРСЬКИЙ
1210140000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ДНІПРОВСЬКІЙ МІСЬКРАДІ"
1210141000,Т,АВІАТОРСЬКЕ
1210200000,М,ВІЛЬНОГІРСЬК
1210400000,,КАМ'ЯНСЬКЕ
1210436000,,РАЙОНИ М.КАМ'ЯНСЬКОГО
1210436300,Р,ПІВДЕННИЙ
1210436301,Щ,СВІТЛЕ
1210436600,Р,ДНІПРОВСЬКИЙ
1210436900,Р,ЗАВОДСЬКИЙ
1210465000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ БАГЛЕЙСЬКІЙ РАЙРАДІ М.КАМЕНСЬКОГО"
1210465300,Т,КАРНАУХІВКА
1210700000,М,ЖОВТІ ВОДИ
1210790000,,"НАСЕЛЕНІ ПУНКТИ, ПІДПОРЯДКОВАНІ ЖОВТОВОДСЬКІЙ МІСЬКРАДІ"
1210790001,С,СУХА БАЛКА
1211000000,,КРИВИЙ РІГ
1211030000,,РАЙОНИ М.КРИВОГО РОГУ
1211036300,Р,МЕТАЛУРГІЙНИЙ
1211036400,Р,ДОВГИНЦІВСЬКИЙ
1211036600,Р,ПОКРОВСЬКИЙ
1211036900,Р,ІНГУЛЕЦЬКИЙ
1211037000,Р,САКСАГАНСЬКИЙ
1211037200,Р,ТЕРНІВСЬКИЙ
