"TE","NP","NU","NR"
"2124883300",,"ПАЛАДЬ-КОМАРІВЕЦЬКА/С.ПАЛАДЬ-КОМАРІВЦІ","ПАЛАДЬ-КОМАРОВСКИЙ/С.ПАЛАДЬ-КОМАРОВЦЫ"
"2124883301","С","ПАЛАДЬ-КОМАРІВЦІ","ПАЛАДЬ-КОМАРОВЦЫ"
"2124883302","С","МАЛІ СЕЛМЕНЦІ","МАЛЫЕ СЕЛМЕНЦЫ"
"2124883600",,"КОРИТНЯНСЬКА/С.КОРИТНЯНИ","КОРЫТНЯНОВСКИЙ/С.КОРЫТНЯНЫ"
"2124883601","С","КОРИТНЯНИ","КОРЫТНЯНЫ"
"2124883602","С","КІНЧЕШ","КИНЧЕШ"
"2124883900",,"МАЛОДОБРОНСЬКА/С.МАЛА ДОБРОНЬ","МАЛОДОБРАНЬСКИЙ/С.МАЛАЯ ДОБРАНЬ"
"2124883901","С","МАЛА ДОБРОНЬ","МАЛАЯ ДОБРАНЬ"
"2124883902","С","ДЕМЕЧІ","ДЕМЕЧИ"
"2124884200",,"ТИСААШВАНСЬКА/С.ТИСААШВАНЬ","ТИСААШВАНЬСКИЙ/С.ТИСААШВАНЬ"
"2124884201","С","ТИСААШВАНЬ","ТИСААШВАНЬ"
"2124884203","С","ТИСАУЙФАЛУ","ТИСАУЙФАЛУ"
"2124884500",,"НЕВИЦЬКА/С.НЕВИЦЬКЕ","НЕВИЦКИЙ/С.НЕВИЦКОЕ"
"2124884501","С","НЕВИЦЬКЕ","НЕВИЦКОЕ"
"2124884800",,"ОНОКІВСЬКА/С.ОНОКІВЦІ","ОНОКОВСКИЙ/С.ОНОКОВЦЫ"
"2124884801","С","ОНОКІВЦІ","ОНОКОВЦЫ"
"2124884802","С","ОРІХОВИЦЯ","ОРЕХОВИЦА"
"2124885100",,"ПАЦКАНІВСЬКА/С.ПАЦКАНЬОВО","ПАЦКАНЕВСКИЙ/С.ПАЦКАНЕВО"
"2124885101","С","ПАЦКАНЬОВО","ПАЦКАНЕВО"
"2124885400",,"РАТІВЕЦЬКА/С.РАТІВЦІ","РАТОВЕЦКИЙ/С.РАТОВЦЫ"
"2124885401","С","РАТІВЦІ","РАТОВЦЫ"
"2124885900",,"СОЛОВКІВСЬКА/С.СОЛОВКА","СОЛОВКОВСКИЙ/С.СОЛОВКА"
"2124885901","С","СОЛОВКА","СОЛОВКА"
"2124885902","С","ПЕТРІВКА","ПЕТРОВКА"
"2124886200",,"СОЛОМОНІВСЬКА/С.СОЛОМОНОВО","СОЛОМОНОВСКИЙ/С.СОЛОМОНОВО"
"2124886201","С","СОЛОМОНОВО","СОЛОМОНОВО"
"2124886300",,"СТОРОЖНИЦЬКА/С.СТОРОЖНИЦЯ","СТОРОЖНИЦКИЙ/С.СТОРОЖНИЦА"
"2124886301","С","СТОРОЖНИЦЯ","СТОРОЖНИЦА"
"2124886400",,"СЮРТІВСЬКА/С.СЮРТЕ","СЮРТЯНСКИЙ/С.СЮРТЭ"
"2124886401","С","СЮРТЕ","СЮРТЭ"
"2124886800",,"ТАРНОВЕЦЬКА/С.ТАРНІВЦІ","ТАРНОВЕЦКИЙ/С.ТАРНОВЦЫ"
"2124886801","С","ТАРНІВЦІ","ТАРНОВЦЫ"
"2124886802","С","БОТФАЛВА","БОТФАЛВА"
"2124886804","С","ШИШЛІВЦІ","ШИШЛОВЦЫ"
"2124886900",,"ТИЙГЛАСЬКА/С.ТИЙГЛАШ","ТИЙГЛАШСКИЙ/С.ТИЙГЛАШ"
"2124886901","С","ТИЙГЛАШ","ТИЙГЛАШ"
"2124887000",,"ТИСААГТЕЛЕКСЬКА/С.ТИСААГТЕЛЕК","ТИСААГТЕЛЕКСКИЙ/С.ТИСААГТЕЛЕК"
"2124887001","С","ТИСААГТЕЛЕК","ТИСААГТЕЛЕК"
"2124887300",,"ХОЛМЕЦЬКА/С.ХОЛМЕЦЬ","ХОЛМЕЦКИЙ/С.ХОЛМЕЦ"
"2124887301","С","ХОЛМЕЦЬ","ХОЛМЕЦ"
"2124887400",,"ХОЛМКІВСЬКА/С.ХОЛМОК","ХОЛМКОВСКИЙ/С.ХОЛМОК"
"2124887401","С","ХОЛМОК","ХОЛМОК"
"2124887402","С","КОНЦОВО","КОНЦОВО"
"2124887403","С","МИНАЙ","МИНАЙ"
"2124887404","С","РОЗІВКА","РОЗОВКА"
"2124887600",,"ХУДЛІВСЬКА/С.ХУДЛЬОВО","ХУДЛОВСКИЙ/С.ХУДЛЕВО"
"2124887601","С","ХУДЛЬОВО","ХУДЛЕВО"
"2124887602","С","АНТАЛОВЦІ","АНТАЛОВЦЫ"
"2124887603","С","ВЕРХНЯ СОЛОТВИНА","ВЕРХНЯЯ СОЛОТВИНА"
"2124887604","С","ЛЯХІВЦІ","ЛЯХОВЦЫ"
"2124887605","С","ЧЕРТЕЖ","ЧЕРТЕЖ"
"2124887700",,"ЧАСЛІВЕЦЬКА/С.ЧАСЛІВЦІ","ЧАСЛОВСКИЙ/С.ЧАСЛОВЦЫ"
"2124887701","С","ЧАСЛІВЦІ","ЧАСЛОВЦЫ"
"2124887800",,"ЧЕРВОНІВСЬКА/С.ЧЕРВОНЕ","ЧЕРВОНОВСКИЙ/С.ЧЕРВОНОЕ"
"2124887801","С","ЧЕРВОНЕ","ЧЕРВОНОЕ"
"2124888000",,"ЕСЕНСЬКА/С.ЕСЕНЬ","ЕСЕНЬСКИЙ/С.ЕСЕНЬ"
"2124888001","С","ЕСЕНЬ","ЕСЕНЬ"
"2124888200",,"ЯРОЦЬКА/С.ЯРОК","ЯРОКСКИЙ/С.ЯРОК"
"2124888201","С","ЯРОК","ЯРОК"
"2124888202","С","СТРИПА","СТРЫПА"
"2125300000",,"ХУСТСЬКИЙ РАЙОН/М.ХУСТ","ХУСТСКИЙ РАЙОН/Г.ХУСТ"
"2125355000",,"СЕЛИЩА МІСЬКОГО ТИПУ ХУСТСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ХУСТСКОГО Р-НА"
"2125355300","Т","ВИШКОВО","ВЫШКОВО"
"2125355301","С","МОДЬОРОШ","МОДЬЕРОШ"
"2125355302","С","РАКОШ","РАКОШ"
"2125355303","С","ШАЯН","ШАЯН"
"2125355304","С","ЯБЛУНІВКА","ЯБЛОНОВКА"
"2125380000",,"СІЛЬРАДИ ХУСТСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ХУСТСКОГО Р-НА"
"2125380200",,"ОЛЕКСАНДРІВСЬКА/С.ОЛЕКСАНДРІВКА","АЛЕКСАНДРОВСКИЙ/С.АЛЕКСАНДРОВКА"
"2125380201","С","ОЛЕКСАНДРІВКА","АЛЕКСАНДРОВКА"
"2125380600",,"БЕРЕЗІВСЬКА/С.БЕРЕЗОВО","БЕРЕЗОВСКИЙ/С.БЕРЕЗОВО"
"2125380601","С","БЕРЕЗОВО","БЕРЕЗОВО"
"2125380602","С","ГОНЦОШ","ГОНЦОШ"
"2125380603","С","РЯПІДЬ","РЯПИДЬ"
"2125381000",,"БОРОНЯВСЬКА/С.БОРОНЯВА","БОРОНЯВСКИЙ/С.БОРОНЯВА"
"2125381001","С","БОРОНЯВА","БОРОНЯВА"
"2125381400",,"ВЕЛЯТИНСЬКА/С.ВЕЛЯТИНО","ВЕЛЯТИНСКИЙ/С.ВЕЛЯТИНО"
"2125381401","С","ВЕЛЯТИНО","ВЕЛЯТИНО"
"2125382200",,"ГОРІНЧІВСЬКА/С.ГОРІНЧОВО","ГОРИНЧОВСКИЙ/С.ГОРИНЧОВО"
"2125382201","С","ГОРІНЧОВО","ГОРИНЧОВО"
"2125382202","С","ДІЛОК","ДИЛОК"
"2125382203","С","КУТЛАШ","КУТЛАШ"
"2125382204","С","ПОСІЧ","ПОСИЧ"
"2125382205","С","СЮРЮК","СЮРЮК"
"2125382600",,"ДАНИЛІВСЬКА/С.ДАНИЛОВО","ДАНИЛОВСКИЙ/С.ДАНИЛОВО"
"2125382601","С","ДАНИЛОВО","ДАНИЛОВО"
"2125382800",,"ДРАГІВСЬКА/С.ДРАГОВО","ДРАГОВСКИЙ/С.ДРАГОВО"
"2125382801","С","ДРАГОВО","ДРАГОВО"
"2125382802","С","ЗАБЕРЕЖ","ЗАБЕРЕЖ"
"2125382803","С","КІЧЕРЕЛИ","КИЧЕРЕЛИ"
"2125382804","С","СТАНОВЕЦЬ","СТАНОВЕЦ"
"2125383000",,"ЗАБРІДСЬКА/С.ЗАБРІДЬ","ЗАБРОДЬСКИЙ/С.ЗАБРОДЬ"
"2125383001","С","ЗАБРІДЬ","ЗАБРОДЬ"
"2125383200",,"ЗОЛОТАРІВСЬКА/С.ЗОЛОТАРЬОВО","ЗОЛОТАРЕВСКИЙ/С.ЗОЛОТАРЕВО"
"2125383201","С","ЗОЛОТАРЬОВО","ЗОЛОТАРЕВО"
"2125383600",,"ІЗЯНСЬКА/С.ІЗА","ИЗАНСКИЙ/С.ИЗА"
"2125383601","С","ІЗА","ИЗА"
"2125383602","С","КАРПОВТЛАШ","КАРПОВТЛАШ"
"2125384000",,"КОПАШНІВСЬКА/С.КОПАШНОВО","КОПАШНЕВСКИЙ/С.КОПАШНОВО"
"2125384001","С","КОПАШНОВО","КОПАШНОВО"
"2125384002","С","ЛУНКА","ЛУНКА"
"2125384003","С","ПОЛЯНА","ПОЛЯНА"
"2125384004","С","ХУСТЕЦЬ","ХУСТЕЦ"
"2125384200",,"КОШЕЛІВСЬКА/С.КОШЕЛЬОВО","КОШЕЛЕВСКИЙ/С.КОШЕЛЕВО"
"2125384201","С","КОШЕЛЬОВО","КОШЕЛЕВО"
"2125384202","С","ЗАЛОМ","ЗАЛОМ"
"2125384400",,"КРАЙНИКІВСЬКА/С.КРАЙНИКОВО","КРАЙНИКОВСКИЙ/С.КРАЙНИКОВО"
"2125384401","С","КРАЙНИКОВО","КРАЙНИКОВО"
"2125384600",,"КРИВСЬКА/С.КРИВА","КРИВСКИЙ/С.КРИВАЯ"
"2125384601","С","КРИВА","КРИВАЯ"
"2125384800",,"ЛИПЕЦЬКО-ПОЛЯНСЬКА/С.ЛИПЕЦЬКА ПОЛЯНА","ЛИПЕЦКО-ПОЛЯНСКИЙ/С.ЛИПЕЦКАЯ ПОЛЯНА"
"2125384801","С","ЛИПЕЦЬКА ПОЛЯНА","ЛИПЕЦКАЯ ПОЛЯНА"
"2125384802","С","КАЛЛІВ","КАЛЛОВ"
"2125384803","С","ОЖОВЕРХ","ОЖОВЕРХ"
"2125384804","С","СЛОПОВИЙ","СЛОПОВЫЙ"
"2125385000",,"ЛИПОВЕЦЬКА/С.ЛИПОВЕЦЬ","ЛИПОВЕЦКИЙ/С.ЛИПОВЕЦ"
"2125385001","С","ЛИПОВЕЦЬ","ЛИПОВЕЦ"
"2125385200",,"ЛИПЧАНСЬКА/С.ЛИПЧА","ЛИПЧАНСКИЙ/С.ЛИПЧА"
"2125385201","С","ЛИПЧА","ЛИПЧА"
"2125385202","С","КРАЙНЄ","КРАЙНЕЕ"
"2125385203","С","КРИВИЙ","КРИВОЙ"
"2125385205","С","ОСАВА","ОСАВА"
"2125385600",,"МОНАСТИРЕЦЬКА/С.МОНАСТИРЕЦЬ","МОНАСТЫРЕЦКИЙ/С.МОНАСТЫРЕЦ"
"2125385601","С","МОНАСТИРЕЦЬ","МОНАСТЫРЕЦ"
"2125385602","С","МЕДВЕЖИЙ","МЕДВЕЖИЙ"
"2125385603","С","ОБЛАЗ","ОБЛАЗ"
"2125385604","С","ПОТОЧОК","ПОТОЧЕК"
"2125385605","С","ТОПОЛИН","ТОПОЛИН"
"2125386000",,"НАНКІВСЬКА/С.НАНКОВО","НАНКОВСКИЙ/С.НАНКОВО"
"2125386001","С","НАНКОВО","НАНКОВО"
"2125386200",,"НИЖНЬОБИСТРІВСЬКА/С.НИЖНІЙ БИСТРИЙ","НИЖНЕБЫСТРОВСКИЙ/С.НИЖНИЙ БЫСТРЫЙ"
"2125386201","С","НИЖНІЙ БИСТРИЙ","НИЖНИЙ БЫСТРЫЙ"
"2125386202","С","ПРОТИВЕНЬ","ПРОТИВЕНЬ"
"2125386203","С","ШИРОКЕ","ШИРОКОЕ"
"2125386600",,"НИЖНЬОСЕЛИЩЕНСЬКА/С.НИЖНЄ СЕЛИЩЕ","НИЖНЕСЕЛИЩЕНСКИЙ/С.НИЖНЕЕ СЕЛИЩЕ"
"2125386601","С","НИЖНЄ СЕЛИЩЕ","НИЖНЕЕ СЕЛИЩЕ"
"2125386900",,"ВІЛЬШАНІВСЬКА/С.ВІЛЬШАНИ","ОЛЬШАНОВСКИЙ/С.ОЛЬШАНЫ"
"2125386901","С","ВІЛЬШАНИ","ОЛЬШАНЫ"
"2125387100",,"РОКОСІВСЬКА/С.РОКОСОВО","РОКОСОВСКИЙ/С.РОКОСОВО"
"2125387101","С","РОКОСОВО","РОКОСОВО"
"2125387103","С","ВЕРТЕП","ВЕРТЕП"
"2125387400",,"СОКИРНИЦЬКА/С.СОКИРНИЦЯ","СОКИРНИЦКИЙ/С.СОКИРНИЦА"
"2125387401","С","СОКИРНИЦЯ","СОКИРНИЦА"
"2125387800",,"СТЕБЛІВСЬКА/С.СТЕБЛІВКА","СТЕБЛЕВСКИЙ/С.СТЕБЛЕВКА"
"2125387801","С","СТЕБЛІВКА","СТЕБЛЕВКА"
"2300000000",,"ЗАПОРІЗЬКА ОБЛАСТЬ/М.ЗАПОРІЖЖЯ","ЗАПОРОЖСКАЯ ОБЛАСТЬ/Г.ЗАПОРОЖЬЕ"
"2310000000",,"МІСТА ОБЛАСНОГО ПІДПОРЯДКУВАННЯ ЗАПОРІЗЬКОЇ ОБЛАСТІ","ГОРОДА ОБЛАСТНОГО ПОДЧИНЕНИЯ ЗАПОРОЖСКОЙ ОБЛАСТИ"
"2310100000",,"ЗАПОРІЖЖЯ","ЗАПОРОЖЬЕ"
"2310130000",,"РАЙОНИ М.ЗАПОРІЖЖЯ","РАЙОНЫ Г.ЗАПОРОЖЬЯ"
"2310136300","Р","ОЛЕКСАНДРІВСЬКИЙ","АЛЕКСАНДРОВСКИЙ"
"2310136600","Р","ЗАВОДСЬКИЙ","ЗАВОДСКОЙ"
"2310136700","Р","КОМУНАРСЬКИЙ","КОММУНАРСКИЙ"
"2310136900","Р","ДНІПРОВСЬКИЙ","ДНИПРОВСКИЙ"
"2310137200","Р","ВОЗНЕСЕНІВСЬКИЙ","ВОЗНЕСЕНОВСКИЙ"
"2310137300","Р","ХОРТИЦЬКИЙ","ХОРТИЦКИЙ"
"2310137500","Р","ШЕВЧЕНКІВСЬКИЙ","ШЕВЧЕНКОВСКИЙ"
"2310167000",,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ШЕВЧЕНКІВСЬКІЙ РАЙРАДІ М.ЗАПОРІЖЖЯ","ПОСЕЛКИ ГОРОДСКОГО ТИПА, ПОДЧИНЕННЫЕ ШЕВЧЕНКОВСКОМУ РАЙСОВЕТУ Г.ЗАПОРОЖЬЯ"
"2310400000","М","БЕРДЯНСЬК","БЕРДЯНСК"
"2310490000",,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ БЕРДЯНСЬКІЙ МІСЬКРАДІ","СЕЛЬСОВЕТЫ, ПОДЧИНЕННЫЕ БЕРДЯНСКОМУ ГОРСОВЕТУ"
"2310494000",,"НОВОВАСИЛІВСЬКА/С.НОВОВАСИЛІВКА","НОВОВАСИЛЬЕВСКИЙ/С.НОВОВАСИЛЕЬВКА"
"2310494001","С","НОВОВАСИЛІВКА","НОВОВАСИЛЕВКА"
"2310494003","С","РОЗА","РОЗА"
"2310494005","Щ","ШОВКОВЕ","ШЕЛКОВОЕ"
"2310700000","М","МЕЛІТОПОЛЬ","МЕЛИТОПОЛЬ"
"2311000000","М","ТОКМАК","ТОКМАК"
"2312500000","М","ЕНЕРГОДАР","ЭНЕРГОДАР"
"2320000000",,"РАЙОНИ ЗАПОРІЗЬКОЇ ОБЛАСТІ","РАЙОНЫ ЗАПОРОЖСКОЙ ОБЛАСТИ"
"2320300000",,"ЯКИМІВСЬКИЙ РАЙОН/СМТ ЯКИМІВКА","АКИМОВСКИЙ РАЙОН/ПГТ АКИМОВКА"
"2320355000",,"СЕЛИЩА МІСЬКОГО ТИПУ ЯКИМІВСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА АКИМОВСКОГО Р-НА"
"2320355100","Т","ЯКИМІВКА","АКИМОВКА"
"2320355400","Т","КИРИЛІВКА","КИРИЛЛОВКА"
"2320355403","С","ЛИМАНСЬКЕ","ЛИМАНСКОЕ"
"2320380000",,"СІЛЬРАДИ ЯКИМІВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ АКИМОВСКОГО Р-НА"
"2320380200",,"АТМАНАЙСЬКА/С.АТМАНАЙ","АТМАНАЙСКИЙ/С.АТМАНАЙ"
"2320380201","С","АТМАНАЙ","АТМАНАЙ"
"2320380203","С","ВОВЧЕ","ВОЛЧЬЕ"
"2320380205","С","НОВЕ","НОВОЕ"
"2320380209","С","СОЛОНЕ","СОЛЕНОЕ"
"2320380800",,"ВОЛОДИМИРІВСЬКА/С.ВОЛОДИМИРІВКА","ВЛАДИМИРОВСКИЙ/С.ВЛАДИМИРОВКА"
"2320380801","С","ВОЛОДИМИРІВКА","ВЛАДИМИРОВКА"
"2320380803","С","ОЛЕКСАНДРІВКА","АЛЕКСАНДРОВКА"
"2320380805","С","ЮР'ЇВКА","ЮРЬЕВКА"
"2320381000",,"ГОРЬКІВСЬКА/С-ЩЕ МАКСИМА ГОРЬКОГО","ГОРЬКОВСКИЙ/П.МАКСИМА ГОРЬКОГО"
"2320381001","Щ","МАКСИМА ГОРЬКОГО","МАКСИМА ГОРЬКОГО"
"2320381003","С","ВЕСНЯНЕ","ВЕСНЯНОЕ"
"2320381005","С","МИХАЙЛІВСЬКЕ","МИХАЙЛОВСКОЕ"
"2320381007","С","СТЕПОВЕ","СТЕПОВОЕ"
"2320381200",,"ДАВИДІВСЬКА/С.ДАВИДІВКА","ДАВЫДОВСКИЙ/С.ДАВЫДОВКА"
"2320381201","С","ДАВИДІВКА","ДАВЫДОВКА"
"2320381203","С","АНДРІЇВКА","АНДРЕЕВКА"
"2320381205","С","ВОВЧАНСЬКЕ","ВОЛЧАНСКОЕ"
"2320382400",,"НОВОДАНИЛІВСЬКА/С.НОВОДАНИЛІВКА","НОВОДАНИЛОВСКИЙ/С.НОВОДАНИЛОВКА"
"2320382401","С","НОВОДАНИЛІВКА","НОВОДАНИЛОВКА"
"2320382403","С","ВЕЛИКА ТЕРНІВКА","ВЕЛИКАЯ ТЕРНОВКА"
"2320382405","С","ГАННІВКА","АННОВКА"
"2320382407","С","ЄЛИЗАВЕТІВКА","ЕЛИЗАВЕТОВКА"
"2320382900",,"ОХРІМІВСЬКА/С.ОХРІМІВКА","ОХРИМОВСКИЙ/С.ОХРИМОВКА"
"2320382901","С","ОХРІМІВКА","ОХРИМОВКА"
"2320382903","С","КОСИХ","КОСЫХ"
"2320383600",,"ПЕРЕМОЖНЕНСЬКА/С-ЩЕ ПЕРЕМОЖНЕ","ПЕРЕМОЖНЕНСКИЙ/П.ПЕРЕМОЖНОЕ"
"2320383601","Щ","ПЕРЕМОЖНЕ","ПЕРЕМОЖНОЕ"
"2320383611","Щ","ТРУДОВЕ","ТРУДОВОЕ"
"2320383613","Щ","ЯКИМІВСЬКЕ","АКИМОВСКОЕ"
"2320385700",,"РОЗІВСЬКА/С.РОЗІВКА","РОЗОВСКИЙ/С.РОЗОВКА"
"2320385701","С","РОЗІВКА","РОЗОВКА"
"2320385703","С","ДРУЖБА","ДРУЖБА"
"2320385705","С","ЗІРКА","ЗИРКА"
"2320385707","С","ЧЕРВОНЕ","ЧЕРВОНОЕ"
"2320385800",,"РАДИВОНІВСЬКА/С.РАДИВОНІВКА","РАДИВОНОВСКИЙ/С.РАДИВОНОВКА"
"2320385801","С","РАДИВОНІВКА","РАДИВОНОВКА"
"2320385803","С","БОГАТИР","БОГАТЫРЬ"
"2320385805","С","МИРНЕ","МИРНОЕ"
"2320385807","С","ПЕРЕМОГА","ПЕРЕМОГА"
"2320385809","С","ТИМОФІЇВКА","ТИМОФЕЕВКА"
"2320386900",,"ТАВРІЙСЬКА/С.ТАВРІЙСЬКЕ","ТАВРИЙСКИЙ/С.ТАВРИЙСКОЕ"
"2320386901","С","ТАВРІЙСЬКЕ","ТАВРИЙСКОЕ"
"2320386903","С","ГВАРДІЙСЬКЕ","ГВАРДЕЙСКОЕ"
"2320386905","С","ЗЕРНОВЕ","ЗЕРНОВОЕ"
"2320387000",,"ЧОРНОЗЕМНЕНСЬКА/С.ЧОРНОЗЕМНЕ","ЧЕРНОЗЕМНЕНСКИЙ/С.ЧЕРНОЗЕМНОЕ"
"2320387001","С","ЧОРНОЗЕМНЕ","ЧЕРНОЗЕМНОЕ"
"2320387003","С","В'ЯЗІВКА","ВЯЗОВКА"
"2320387005","С","ПЕТРІВКА","ПЕТРОВКА"
"2320387009","С","ШЕВЧЕНКА","ШЕВЧЕНКО"
"2320387600",,"ШЕЛЮГІВСЬКА/С.ШЕЛЮГИ","ШЕЛЮГОВСКИЙ/С.ШЕЛЮГИ"
"2320387601","С","ШЕЛЮГИ","ШЕЛЮГИ"
"2320387603","С","МАЛА ТЕРНІВКА","МАЛАЯ ТЕРНОВКА"
"2320600000",,"БЕРДЯНСЬКИЙ РАЙОН/М.БЕРДЯНСЬК","БЕРДЯНСКИЙ РАЙОН/Г.БЕРДЯНСК"
"2320655000",,"СЕЛИЩА МІСЬКОГО ТИПУ БЕРДЯНСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА БЕРДЯНСКОГО Р-НА"
"2320655200","Т","АНДРІЇВКА","АНДРЕЕВКА"
"2320655201","С","ДАХНО","ДАХНО"
"2320655202","С","ІВАНІВКА","ИВАНОВКА"
"2320655203","С","НОВОСІЛЬСЬКЕ","НОВОСЕЛЬСКОЕ"
"2320655204","С","САХНО","САХНО"
"2320655205","С","СОФІЇВКА","СОФИЕВКА"
"2320655206","С","УСПЕНІВКА","УСПЕНОВКА"
"2320680000",,"СІЛЬРАДИ БЕРДЯНСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ БЕРДЯНСКОГО Р-НА"
"2320680500",,"АНДРІВСЬКА/С.АНДРІВКА","АНДРОВСКИЙ/С.АНДРОВКА"
"2320680501","С","АНДРІВКА","АНДРОВКА"
"2320680502","С","ПОЛОУЗІВКА","ПОЛОУЗОВКА"
"2320680503","С","ТРОЯНИ","ТРОЯНЫ"
"2320681000",,"БЕРЕСТІВСЬКА/С.БЕРЕСТОВЕ","БЕРЕСТОВСКИЙ/С.БЕРЕСТОВОЕ"
"2320681001","С","БЕРЕСТОВЕ","БЕРЕСТОВОЕ"
"2320681002","С","ДОВБИНЕ","ДОЛБИНО"
"2320681003","С","САЧКИ","САЧКИ"
"2320681500",,"ДМИТРІВСЬКА/С.ДМИТРІВКА","ДМИТРОВСКИЙ/С.ДМИТРОВКА"
"2320681501","С","ДМИТРІВКА","ДМИТРОВКА"
"2320681502","С","ШЕВЧЕНКА","ШЕВЧЕНКО"
"2320682000",,"ДОЛИНСЬКА/С.ДОЛИНСЬКЕ","ДОЛИНСКИЙ/С.ДОЛИНСКОЕ"
"2320682001","С","ДОЛИНСЬКЕ","ДОЛИНСКОЕ"
"2320682002","С","КОЗА","КОЗА"
"2320682003","С","КРИМКА","КРЫМКА"
"2320682004","С","ОЛЕНІВКА","ОЛЕНОВКА"
"2320682005","С","ШЕВЧЕНКОВЕ","ШЕВЧЕНКОВО"
"2320682500",,"КАРЛО-МАРКСІВСЬКА/С.ТРОЇЦЬКЕ","КАРЛО-МАРКСОВСКИЙ/С.ТРОИЦКОЕ"
"2320682501","С","ТРОЇЦЬКЕ","ТРОИЦКОЕ"
"2320682502","С","ГЛОДОВЕ","ГЛОДОВО"
"2320682503","С","КАЛАЙТАНІВКА","КАЛАЙТАНОВКА"
"2320683000",,"АЗОВСЬКА/С.АЗОВСЬКЕ","АЗОВСКИЙ/С.АЗОВСКОЕ"
"2320683001","С","АЗОВСЬКЕ","АЗОВСКОЕ"
"2320683500",,"МИКОЛАЇВСЬКА/С.МИКОЛАЇВКА","НИКОЛАЕВСКИЙ/С.НИКОЛАЕВКА"
"2320683501","С","МИКОЛАЇВКА","НИКОЛАЕВКА"
"2320683502","С","МАЛИНІВКА","МАЛИНОВКА"
"2320683503","С","НОВОІВАНІВКА","НОВОИВАНОВКА"
"2320683504","С","НОВОСОЛДАТСЬКЕ","НОВОСОЛДАТСКОЕ"
"2320683505","С","РАДИВОНІВКА","РАДИВОНОВКА"
"2320684500",,"НОВОПЕТРІВСЬКА/С.НОВОПЕТРІВКА","НОВОПЕТРОВСКИЙ/С.НОВОПЕТРОВКА"
"2320684501","С","НОВОПЕТРІВКА","НОВОПЕТРОВКА"
"2320684502","С","КУЛИКІВСЬКЕ","КУЛИКОВСКОЕ"
"2320684503","С","СТАРОПЕТРІВКА","СТАРОПЕТРОВКА"
"2320685000",,"НОВОТРОЇЦЬКА/С.НОВОТРОЇЦЬКЕ","НОВОТРОИЦКИЙ/С.НОВОТРОИЦКОЕ"
"2320685001","С","НОВОТРОЇЦЬКЕ","НОВОТРОИЦКОЕ"
"2320685500",,"ОСИПЕНКІВСЬКА/С.ОСИПЕНКО","ОСИПЕНКОВСКИЙ/С.ОСИПЕНКО"
"2320685501","С","ОСИПЕНКО","ОСИПЕНКО"
"2320686000",,"ЧЕРВОНОПІЛЬСЬКА/С.ЧЕРВОНЕ ПОЛЕ","ЧЕРВОНОПОЛЬСКИЙ/С.ЧЕРВОНОЕ ПОЛЕ"
"2320686001","С","ЧЕРВОНЕ ПОЛЕ","ЧЕРВОНОЕ ПОЛЕ"
"2320686002","Щ","БЕРДЯНСЬКЕ","БЕРДЯНСКОЕ"
"2320686003","С","ДЕРЕВЕЦЬКЕ","ДЕРЕВЕЦКОЕ"
"2320900000",,"ВАСИЛІВСЬКИЙ РАЙОН/М.ВАСИЛІВКА","ВАСИЛЬЕВСКИЙ РАЙОН/Г.ВАСИЛЬЕВКА"
"2320910000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ВАСИЛІВСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ ВАСИЛЬЕВСКОГО Р-НА"
"2320910100","М","ВАСИЛІВКА","ВАСИЛЬЕВКА"
"2320910400","М","ДНІПРОРУДНЕ","ДНЕПРОРУДНОЕ"
"2320955000",,"СЕЛИЩА МІСЬКОГО ТИПУ ВАСИЛІВСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ВАСИЛЬЕВСКОГО Р-НА"
"2320955700","Т","СТЕПНОГІРСЬК","СТЕПНОГОРСК"
"2320955701","С","ЛУК'ЯНІВСЬКЕ","ЛУКЬЯНОВСКОЕ"
"2320955703","С","СТЕПОВЕ","СТЕПОВОЕ"
"2320980000",,"СІЛЬРАДИ ВАСИЛІВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ВАСИЛЬЕВСКОГО Р-НА"
"2320981100",,"БАЛКІВСЬКА/С.БАЛКИ","БАЛКОВСКИЙ/С.БАЛКИ"
"2320981101","С","БАЛКИ","БАЛКИ"
"2320982200",,"КАМ'ЯНСЬКА/С.КАМ'ЯНСЬКЕ","КАМЕНСКИЙ/С.КАМЕНСКОЕ"
"2320982201","С","КАМ'ЯНСЬКЕ","КАМЕНСКОЕ"
"2320982202","С","ПЛАВНІ","ПЛАВНИ"
